geography,firmsize,year,quarter,Emp,EmpEnd,sEmp,sEmpEnd
6103,3,1991,3,,1377,-1,1
6103,4,1991,3,,494,-1,9
6103,5,1991,3,,2864,-1,1
6105,0,1991,3,,1460,-1,1
6105,1,1991,3,,943,-1,1
6105,2,1991,3,,119,-1,9
6105,3,1991,3,,236,-1,9
6105,5,1991,3,,162,-1,1
6107,0,1991,3,,87954,-1,1
6107,1,1991,3,,33827,-1,1
6107,2,1991,3,,11494,-1,1
6107,3,1991,3,,17723,-1,1
6107,4,1991,3,,3958,-1,1
6107,5,1991,3,,20953,-1,1
6109,0,1991,3,,10204,-1,1
6109,1,1991,3,,4902,-1,1
6109,2,1991,3,,1788,-1,1
6109,3,1991,3,,968,-1,1
6109,4,1991,3,,427,-1,9
6109,5,1991,3,,2120,-1,1
6111,0,1991,3,,178821,-1,1
6111,1,1991,3,,48669,-1,1
6111,2,1991,3,,22416,-1,1
6111,3,1991,3,,34646,-1,1
6111,4,1991,3,,12472,-1,1
6111,5,1991,3,,60617,-1,1
6113,0,1991,3,,50998,-1,1
6113,1,1991,3,,13413,-1,1
6113,2,1991,3,,6340,-1,1
6113,3,1991,3,,8211,-1,1
6113,4,1991,3,,2671,-1,1
6113,5,1991,3,,20363,-1,1
6115,0,1991,3,,9723,-1,1
6115,1,1991,3,,3703,-1,1
6115,2,1991,3,,1317,-1,1
6115,3,1991,3,,1745,-1,1
6115,4,1991,3,,441,-1,1
6115,5,1991,3,,2517,-1,1
6001,0,1991,4,466807,465800,1,1
6001,1,1991,4,104099,102598,1,1
6001,2,1991,4,54092,53018,1,1
6001,3,1991,4,82443,81578,1,1
6001,4,1991,4,24176,24255,1,1
6001,5,1991,4,201996,204351,1,1
6003,0,1991,4,160,487,1,9
6003,1,1991,4,59,46,1,1
6003,2,1991,4,,,5,5
6003,3,1991,4,0,,1,5
6003,4,1991,4,,,5,5
6005,0,1991,4,6221,5950,1,1
6005,1,1991,4,3025,2870,1,1
6005,2,1991,4,859,804,1,1
6005,3,1991,4,1169,1134,1,1
6005,4,1991,4,68,57,1,1
6005,5,1991,4,1100,1085,9,9
6007,0,1991,4,46821,44687,1,1
6007,1,1991,4,17444,15713,1,1
6007,2,1991,4,6765,6540,1,1
6007,3,1991,4,7533,7359,1,1
6007,4,1991,4,2018,2098,1,1
6007,5,1991,4,13061,12978,1,1
6009,0,1991,4,4706,4363,1,1
6009,1,1991,4,2715,2350,1,1
6009,2,1991,4,1039,1059,1,1
6009,3,1991,4,370,389,1,1
6009,4,1991,4,77,72,1,1
6009,5,1991,4,505,493,9,9
6011,0,1991,4,5433,4077,1,1
6011,1,1991,4,3119,2138,1,1
6011,2,1991,4,962,768,1,1
6011,3,1991,4,493,438,1,1
6011,4,1991,4,254,232,9,9
6011,5,1991,4,606,501,1,1
6013,0,1991,4,238541,238215,1,1
6013,1,1991,4,60523,59260,1,1
6013,2,1991,4,28640,28208,1,1
6013,3,1991,4,32669,31968,1,1
6013,4,1991,4,12020,12428,1,1
6013,5,1991,4,104689,106350,1,1
6015,0,1991,4,4943,4317,1,1
6015,1,1991,4,2292,1871,1,1
6015,2,1991,4,526,485,1,1
6015,3,1991,4,620,594,1,1
6015,4,1991,4,206,203,1,1
6015,5,1991,4,1299,1165,1,1
6017,0,1991,4,22303,21636,1,1
6017,1,1991,4,11727,10439,1,1
6017,2,1991,4,2766,2760,1,1
6017,3,1991,4,2688,2621,1,1
6017,4,1991,4,1214,1407,1,1
6017,5,1991,4,3908,4409,1,1
6019,0,1991,4,226878,204941,1,1
6019,1,1991,4,77034,65396,1,1
6019,2,1991,4,31591,27731,1,1
6019,3,1991,4,43735,38221,1,1
6019,4,1991,4,9201,8634,1,1
6019,5,1991,4,65317,64959,1,1
6021,0,1991,4,5627,4997,1,1
6021,1,1991,4,2749,2309,1,1
6021,2,1991,4,681,641,1,1
6021,3,1991,4,501,474,1,1
6021,4,1991,4,109,99,1,1
6021,5,1991,4,1588,1474,1,1
6023,0,1991,4,34506,33284,1,1
6023,1,1991,4,12618,11761,1,1
6023,2,1991,4,5220,5082,1,1
6023,3,1991,4,7039,6721,1,1
6023,4,1991,4,1081,1110,1,1
6023,5,1991,4,8549,8610,1,1
6025,0,1991,4,33008,37460,1,1
6025,1,1991,4,11105,11700,1,1
6025,2,1991,4,5349,6014,1,1
6025,3,1991,4,5748,6288,1,1
6025,4,1991,4,1465,2124,1,1
6025,5,1991,4,9341,11334,1,1
6027,0,1991,4,5229,5242,1,1
6027,1,1991,4,2291,2119,1,1
6027,2,1991,4,793,789,1,1
6027,3,1991,4,527,550,1,1
6027,4,1991,4,897,880,9,9
6027,5,1991,4,721,905,1,1
6029,0,1991,4,152089,141787,1,1
6029,1,1991,4,45500,40581,1,1
6029,2,1991,4,20456,19477,1,1
6029,3,1991,4,29699,26992,1,1
6029,4,1991,4,6313,5731,1,1
6029,5,1991,4,50120,49007,1,1
6031,0,1991,4,22375,20457,1,1
6031,1,1991,4,7624,6765,1,1
6031,2,1991,4,3158,3020,1,1
6031,3,1991,4,3804,3186,1,1
6031,4,1991,4,582,550,1,1
6031,5,1991,4,7208,6936,1,1
6033,0,1991,4,8365,7676,1,1
6033,1,1991,4,4346,3744,1,1
6033,2,1991,4,906,901,1,1
6033,3,1991,4,1303,1214,1,1
6033,4,1991,4,620,613,1,1
6033,5,1991,4,1189,1203,1,1
6035,0,1991,4,4345,4114,1,1
6035,1,1991,4,2018,1808,1,1
6035,2,1991,4,662,677,1,1
6035,3,1991,4,412,389,1,1
6035,4,1991,4,249,238,1,9
6035,5,1991,4,1005,1003,1,1
6037,0,1991,4,3514413,3457984,1,1
6037,1,1991,4,670975,652921,1,1
6037,2,1991,4,368808,357750,1,1
6037,3,1991,4,615408,602256,1,1
6037,4,1991,4,207043,200656,1,1
6037,5,1991,4,1652179,1644401,1,1
6039,0,1991,4,23748,20140,1,1
6039,1,1991,4,10587,9069,1,1
6039,2,1991,4,3285,2759,1,1
6039,3,1991,4,4936,3448,1,1
6039,4,1991,4,872,754,1,1
6039,5,1991,4,4068,4110,1,1
6041,0,1991,4,83023,82134,1,1
6041,1,1991,4,29301,28193,1,1
6041,2,1991,4,11925,11928,1,1
6041,3,1991,4,15454,15065,1,1
6041,4,1991,4,3247,3119,1,1
6041,5,1991,4,23096,23829,1,1
6043,0,1991,4,3431,2811,1,1
6043,1,1991,4,1284,1113,1,1
6043,2,1991,4,323,292,1,1
6043,3,1991,4,147,116,9,9
6043,5,1991,4,1676,1290,9,9
6045,0,1991,4,22262,20023,1,1
6045,1,1991,4,10486,9050,1,1
6045,2,1991,4,3713,3330,1,1
6045,3,1991,4,4470,4168,1,1
6045,4,1991,4,175,182,9,9
6045,5,1991,4,3418,3292,1,1
6047,0,1991,4,46428,39856,1,1
6047,1,1991,4,16545,12659,1,1
6047,2,1991,4,6294,5276,1,1
6047,3,1991,4,7041,5793,1,1
6047,4,1991,4,1438,1428,9,9
6047,5,1991,4,15110,14698,1,1
6049,0,1991,4,1746,1462,1,1
6049,1,1991,4,1342,1132,1,1
6049,2,1991,4,151,134,1,1
6049,3,1991,4,134,107,1,1
6049,4,1991,4,,,5,5
6049,5,1991,4,111,90,1,1
6051,0,1991,4,3500,4588,1,1
6051,1,1991,4,1676,1312,1,1
6051,2,1991,4,549,600,1,1
6051,3,1991,4,415,512,1,1
6051,4,1991,4,,,5,5
6051,5,1991,4,858,2163,1,9
6053,0,1991,4,113377,98705,1,1
6053,1,1991,4,40966,34150,1,1
6053,2,1991,4,15853,14003,1,1
6053,3,1991,4,20668,16723,1,1
6053,4,1991,4,7743,6834,1,1
6053,5,1991,4,28146,26996,1,1
6055,0,1991,4,38827,36045,1,1
6055,1,1991,4,14973,13656,1,1
6055,2,1991,4,6249,5586,1,1
6055,3,1991,4,6382,5914,1,1
6055,4,1991,4,1331,1218,1,1
6055,5,1991,4,9892,9671,1,1
6057,0,1991,4,18018,17854,1,1
6057,1,1991,4,8219,7587,1,1
6057,2,1991,4,2603,2550,1,1
6057,3,1991,4,2623,2572,1,1
6057,4,1991,4,145,382,1,9
6057,5,1991,4,4428,4764,1,1
6059,0,1991,4,1085847,1072171,1,1
6059,1,1991,4,223096,217132,1,1
6059,2,1991,4,117606,115159,1,1
6059,3,1991,4,187973,183448,1,1
6059,4,1991,4,59277,57589,1,1
6059,5,1991,4,497896,498844,1,1
6061,0,1991,4,55240,54373,1,1
6061,1,1991,4,17406,16268,1,1
6061,2,1991,4,6489,6184,1,1
6061,3,1991,4,7292,7188,1,1
6061,4,1991,4,2134,1817,1,1
6061,5,1991,4,21919,22917,1,1
6063,0,1991,4,4507,3596,1,1
6063,1,1991,4,2793,2108,1,1
6063,2,1991,4,627,470,9,1
6063,3,1991,4,196,204,1,1
6063,4,1991,4,303,281,9,9
6063,5,1991,4,589,533,1,1
6065,0,1991,4,298811,293797,1,1
6065,1,1991,4,71634,69227,1,1
6065,2,1991,4,31340,30974,1,1
6065,3,1991,4,46812,46520,1,1
6065,4,1991,4,12066,12141,1,1
6065,5,1991,4,136959,134934,1,1
6067,0,1991,4,389138,385050,1,1
6067,1,1991,4,136681,133780,1,1
6067,2,1991,4,38560,37758,1,1
6067,3,1991,4,56310,54803,1,1
6067,4,1991,4,16161,15406,1,1
6067,5,1991,4,141426,143303,1,1
6069,0,1991,4,9875,7523,1,1
6069,1,1991,4,4085,3111,1,1
6069,2,1991,4,1815,1353,1,1
6069,3,1991,4,2101,1446,1,1
6069,4,1991,4,345,334,1,1
6069,5,1991,4,1529,1279,1,1
6071,0,1991,4,333925,335716,1,1
6071,1,1991,4,76167,73142,1,1
6071,2,1991,4,38775,38885,1,1
6071,3,1991,4,54511,53548,1,1
6071,4,1991,4,16755,16848,1,1
6071,5,1991,4,147717,153294,1,1
